loop,generation,qd_score,max_fitness,coverage,time,frames,es_updates,rl_updates,evaluations,actor_fitness,center_fitness,pop_mean,pop_median,pop_std,pop_min,pop_max,center_mean,center_median,center_std,center_min,center_max,sigma,eigen_change,rl_step_norm,es_step_norm,es_rl_cosine,es_rl_sign,actor_es_dist,es_dist,rl_dist,start_cos_sim,canonical_step_norm,cma_canonical_cosine,cma_canonical_sign,canonical_rl_cosine,canonical_rl_sign
1,1,487.35516,104.944595,0.1953125,26.87553358078003,1000,1,0,10,47.313976,99.81057,100.546875,100.76671,3.5154574,92.836365,105.20999,103.671135,103.547104,0.791545,102.20997,105.201454,0.010327568,0.0,3.975664,0.14213403,-0.05743024,0.3791541,2.3658125,0.14213403,3.975664,-0.05743024,0.0013745012,0.9567252,0.91540784,-0.051645488,0.38217524
2,2,494.90698,107.362366,0.1953125,0.5759024620056152,2000,2,0,20,177.44522,104.944595,97.41998,102.24556,16.795607,48.4709,110.07464,107.6225,107.53758,0.54840666,106.52365,108.439514,0.010662285,0.0,3.346561,0.14503461,0.050127342,0.49848944,3.1582077,0.20715635,3.3466568,0.051335197,0.0014503513,1.0000002,1.0,0.050129157,0.49848944
3,3,499.88196,109.919586,0.1953125,0.5738818645477295,3000,3,0,30,83.41492,107.362366,114.89455,107.931496,20.34567,105.935,175.66849,108.2772,108.36997,1.0998356,106.61349,110.54169,0.011004312,0.0,5.4020724,0.15621893,-0.0252002,0.5151057,3.0321765,0.26191846,5.4102263,0.031694964,0.014445351,0.054010127,0.50755286,0.297707,0.6616314
4,4,506.987,114.46739,0.1953125,0.5740869045257568,4000,4,0,40,20.634954,109.919586,107.38721,109.221375,8.5987425,84.330185,117.169106,114.76214,114.583115,0.9434498,113.32744,116.037674,0.011353596,0.0,4.3028,0.1677966,0.010902084,0.5302115,3.4650295,0.3042556,4.3014455,0.0261711,0.0016779617,1.0000001,1.0,0.010905415,0.5302115
5,5,516.49976,119.43237,0.1953125,0.5737066268920898,5000,5,0,50,19.63294,114.46739,104.97947,113.07118,28.53246,20.34048,121.27402,119.484985,119.88464,0.886134,117.95546,120.4877,0.011712083,0.0,3.4324796,0.17222725,-0.037651353,0.4592145,3.7436538,0.36410213,3.4581153,0.0933343,0.0017222711,0.99999994,1.0,-0.037646506,0.4592145
6,6,521.12854,119.43237,0.1953125,0.5742430686950684,6000,6,0,60,22.360874,119.43237,107.78179,116.52805,26.851667,27.57638,120.776245,119.43182,119.446724,0.9194414,118.12567,120.872826,0.01207814,0.0,4.322815,0.17882165,-0.07060796,0.45166162,4.035774,0.40663517,4.338008,0.04416147,0.0017882028,1.0,1.0,-0.070612796,0.45166162
7,7,526.85425,125.158035,0.1953125,0.5731627941131592,7000,7,0,70,42.567955,119.09619,109.719536,117.79541,28.897026,23.816387,127.39711,123.90043,124.042465,0.8909884,122.18363,125.21892,0.012453643,0.0,4.54512,0.17655389,-0.022152796,0.48489425,4.079277,0.43434843,4.592123,0.13822843,0.0017655281,1.0000001,1.0,-0.02215707,0.48489425
8,8,531.54803,129.85185,0.1953125,0.5734603404998779,8000,8,0,80,145.5483,125.158035,113.995926,122.11055,24.629883,42.23231,133.05644,129.88876,129.88889,0.8512886,128.09169,131.26007,0.012836413,0.0,4.8896904,0.17621057,-0.024917217,0.5287009,4.1131167,0.47093338,4.891282,0.035459578,0.0017621102,0.99999994,1.0,-0.024918435,0.5287009
9,9,545.702,133.25021,0.1953125,0.5710926055908203,9000,9,0,90,152.17212,129.85185,130.34297,128.59088,6.15409,123.57974,145.02667,131.99158,131.99646,0.992949,130.32635,133.48485,0.013225562,0.0,4.4711986,0.19249918,-0.026697168,0.4833837,4.214077,0.5110919,4.4760265,0.04838971,0.018810663,-0.01010578,0.489426,0.2873899,0.63141996
10,10,547.33435,134.8825,0.1953125,0.5698776245117188,10000,10,0,100,133.5739,133.25021,135.09834,137.20773,8.739718,121.35014,153.26685,134.27745,134.64227,0.8634449,132.38039,135.11919,0.013621176,0.0,4.7876267,0.1875496,-0.052264612,0.47734138,4.1811123,0.5554201,4.776128,0.013096726,0.019223094,0.056476887,0.5241692,0.31013456,0.6087613
